,neighbourhood_group,neighbourhood
0,Central Region,Bishan
1,Central Region,Bukit Merah
2,Central Region,Bukit Timah
3,Central Region,Downtown Core
4,Central Region,Geylang
5,Central Region,Kallang
6,Central Region,Marina East
7,Central Region,Marina South
8,Central Region,Marine Parade
9,Central Region,Museum
10,Central Region,Newton
11,Central Region,Novena
12,Central Region,Orchard
13,Central Region,Outram
14,Central Region,Queenstown
15,Central Region,River Valley
16,Central Region,Rochor
17,Central Region,Singapore River
18,Central Region,Southern Islands
19,Central Region,Straits View
20,Central Region,Tanglin
21,Central Region,Toa Payoh
22,East Region,Bedok
23,East Region,Changi
24,East Region,Changi Bay
25,East Region,Pasir Ris
26,East Region,Paya Lebar
27,East Region,Tampines
28,North-East Region,Ang Mo Kio
29,North-East Region,Hougang
30,North-East Region,North-Eastern Islands
31,North-East Region,Punggol
32,North-East Region,Seletar
33,North-East Region,Sengkang
34,North-East Region,Serangoon
35,North Region,Central Water Catchment
36,North Region,Lim Chu Kang
37,North Region,Mandai
38,North Region,Sembawang
39,North Region,Simpang
40,North Region,Sungei Kadut
41,North Region,Woodlands
42,North Region,Yishun
43,West Region,Boon Lay
44,West Region,Bukit Batok
45,West Region,Bukit Panjang
46,West Region,Choa Chu Kang
47,West Region,Clementi
48,West Region,Jurong East
49,West Region,Jurong West
50,West Region,Pioneer
51,West Region,Tengah
52,West Region,Tuas
53,West Region,Western Islands
54,West Region,Western Water Catchment
